id,headline,description,publication_date,source,url
471031,La Comunidad de Madrid recupera el mando del PLATERCAM y establece la situación operativa 0 tras el apagón,La Comunidad de Madrid ha recuperado este miércoles el mando del Plan Territorial de Protección Civil...,2025-04-30T22:19:56,Europa Press,https://www.europapress.es/madrid/noticia-comunidad-madrid-recupera-mando-platercam-establece-situacion-operativa-apagon-20250430221956.html
188082,El apagón desata la sobretensión de Ayuso con Moncloa antes del Dos de Mayo: 22 guerras con 22 ministros,"Tras el apagón eléctrico, la sobretensión política. El Dos de Mayo, epicentro habitual de confrontación entre el Gobierno central y el de la Comunidad de Madrid, estará...",2025-04-30T22:24:15,El Mundo,https://www.elmundo.es/madrid/2025/05/01/68124a54e85ecea0378b45bc.html
79281,"Las lecciones sobre ""inflación"" que nos deja el apagón: el transistor que pasó en minutos de valer 1","Durante las horas que duró el corte de energía, el capitalismo más descarnado dio la cara en algunos de los momentos de mayor incertidumbre",2025-05-01T02:00:21,La Razón,https://www.larazon.es/economia/lecciones-inflacion-que-nos-deja-apagon-transistor-que-paso-minutos-valer-15-25-euros_202505016811e51a319ae75da4bc57ec.html
451217,"Red Eléctrica se encomienda a los embalses tras el apagón: ""Se han puesto el cinturón""","El día después al apagón, la hidráulica generaba 40 veces más energía que la que generó a las 12:30 del fatídico lunes.",2025-05-01T04:10:18,Libertad Digital,https://www.libertaddigital.com/libremercado/2025-05-01/red-electrica-se-encomienda-a-los-embalses-tras-el-apagon-se-han-puesto-el-cinturon-7249148/
12035,Los últimos de Madrid: el apagón en dos bloques de vecinos en Ciudad Lineal duró 36 horas,Los números 15 y 17 de la calle de Hermanos García Noblejas habían sufrido una avería a causa de las fluctuaciones de la tensión eléctrica que provocó el incidente masivo,2025-05-01T05:00:00,El País,https://elpais.com/espana/madrid/2025-05-01/los-ultimos-de-madrid-el-apagon-en-dos-bloques-de-vecinos-en-ciudad-lineal-duro-36-horas.html
320825,Visita sorpresa y fugaz de Mazón con abrazo al presidente popular en el cónclave del PPE,"Fue todo muy rápido. Llegó sin avisar a los medios de comunicación, esperó a Alberto Núñez Feijóo, al que se abrazó; fue saludado por la cúpula del PP nacional –Cuca Gamarra y Miguel Tellado– y se marchó rodeado de periodistas que intentaron, sin éxito, que se detuviera para abordar cuestiones referidas a la efeméride de la dana, de la que se han cumplido seis meses. Sucedió ayer a primera hora de la mañana en el congreso del PPE que se ha celebrado en Feria Valencia. Ni en su agenda institucional ni en la del PP valenciano estaba anunciada la presencia de Carlos Mazón. El día anterior, primero del cónclave, ya se justificó la ausencia del presidente de la Generalitat Valenciana en la inauguración por su trabajo en la gestión de la crisis del apagón; ayer tampoco participó en la clausura que protagonizó Feijóo. En ese momento ya estaba de camino a Madrid para coger un vuelo a EE.UU. para realizar un viaje relacionado con la guerra de los aranceles.",2025-05-01T05:00:00,La Vanguardia,https://www.lavanguardia.com/local/valencia/20250501/10635790/visita-sorpresa-fugaz-mazon-abrazo-presidente-popular-conclave-ppe.html
249350,Díaz exigió hace dos semanas reducir las «importaciones energéticas» que permitieron resolver el apagón,"Sumar pide crear un Observatorio para equilibrar la balanza comercial, sobre todo en energía",2025-05-01T06:52:23,OKDiario,https://okdiario.com/espana/diaz-exigio-hace-dos-semanas-reducir-importaciones-energeticas-que-permitieron-resolver-apagon-14692018
44999,El Gobierno pide más información a las operadoras sobre el apagón,"El comité que analiza las causas de la crisis energética se volverá a reunir el próximo sábado en la sede de REE, que afirma que ha entregado ya toda la información, ""un contingente de millones de datos""",2025-05-01T13:04:45,ElDiario.es,https://www.eldiario.es/economia/gobierno-pide-informacion-operadoras-apagon_1_12263554.html
138855,"Jesús García Calero: Hemos vuelto, Sans Délai",¿Responsabilidades por el apagón? Vuelva usted mañana. ¿Dimisiones por la corrupción? Vuelva usted mañana...,2025-05-01T14:01:11,ABC,https://www.abc.es/cultura/cultural/jesus-garcia-calero-vuelta-sans-delai-20250501104022-nt.html
551289,Pocas luces en comunicación de crisis,"Aunque sigamos sin conocer cuál fue la causa del apagón eléctrico del lunes, sí podemos analizar el apagón comunicativo del Gobierno español durante cinco horas, las pocas luces de algunos dirigentes autonómicos para tratar de brillar en la oscuridad o la falta de energía de Zarzuela y del president Illa…",2025-05-01T15:16:43,El Periódico,https://www.elperiodico.com/es/ocio-y-cultura/20250501/luces-comunicacion-crisis-patrycia-centeno-apagon-sanchez-116941943
481524,Gestores europeos de redes de electricidad investigan el apagón y celebran la pronta vuelta del suministro,"La Red Europea de Gestores de Redes de Transporte de Electricidad (ENTSO-E, por sus siglas en inglés) ha...",2025-05-01T16:13:39,Europa Press,https://www.europapress.es/economia/energia-00341/noticia-gestores-europeos-redes-electricidad-investigan-apagon-celebran-pronta-vuelta-suministro-20250501161339.html
388717,Los trabajadores marchan por el 1 de mayo: 'Con el apagón te das cuenta de que pasamos demasiado tiempo en el trabajo',"La reducción de la jornada laboral a 37,5 horas semanales es la principal demanda de los asistentes a la marcha.",2025-05-01T16:23:13,20minutos,https://www.20minutos.es/noticia/5705752/0/los-trabajadores-marchan-madrid-por-1-mayo-despues-apagon-te-das-cuenta-que-pasas-mucho-tiempo-trabajo/
222273,El Gobierno de Portugal ordena una auditoría de comunicaciones y transportes tras el apagón,Solicitará además unas pesquisas a nivel europeo para evaluar los sistemas eléctricos en la Península Ibérica.,2025-05-01T20:52:59,Público,https://www.publico.es/politica/gobierno-portugal-ordena-auditoria-comunicaciones-transportes-apagon.html
606637,"Las energías renovables, bajo la lupa tras el gran apagón con varias hipótesis y pocas certezas","El gran apagón sigue dejando varias dudas sobre qué pasó. Mientras el Gobierno sigue adelante con la comisión de análisis independiente, conformada por Consejo de Seguridad Nacional, para tratar de esclarecer lo sucedido el pasado 28 de abril, la lupa se cierne sobre las energías renovables.",2025-05-01T20:56:53,Huffington Post,https://www.huffingtonpost.es/politica/las-energias-renovables-lupa-gran-apagon-hipotesis-pocas-certezas.html
188363,La cúpula de Competencia aborda el lunes el primer informe sobre el gran apagón con el foco en Red Eléctrica,Moncloa ha querido dejar claro que ha invitado a sentarse a la mesa de su comisión de investigación sobre las causas del apagón a la Comisión Nacional de los Mercados y la...,2025-05-01T21:17:57,El Mundo,https://www.elmundo.es/economia/empresas/2025/05/01/6813bc5fe85ece2c0c8b4572.html
451252,Think tanks republicanos exhibirán el apagón como ejemplo de destrozo del ecologismo ultra,El fracaso histórico de Sánchez en su ecologismo ultra servirá ahora de ayuda a la Administración Trump para impulsar lo contrario.,2025-05-02T04:14:26,Libertad Digital,https://www.libertaddigital.com/libremercado/2025-05-02/think-tanks-republicanos-exhibiran-en-eeuu-el-apagon-espanol-como-ejemplo-de-destrozo-por-el-ecologismo-ultra-7249364/
12167,Apagón: así lo afronté con mi mochila del fin del mundo,"Prepararse para grandes emergencias no es de miedosos ni pesimistas, sino la opción sensata, lo que habría hecho mi abuela",2025-05-02T05:30:00,El País,https://elpais.com/ideas/2025-05-02/apagon-asi-lo-afronte-con-mi-mochila-del-fin-del-mundo.html
320826,El Gobierno asume que tardará en señalar a los responsables del apagón,"El Gobierno es consciente de que no va a poder señalar a los responsables del apagón del pasado lunes de forma rápida y responder así a las preguntas que se hacen los ciudadanos. La vicepresidencia de Transición Ecológica ha empezado a recibir información de las compañías, desde Red Eléctrica (REE), encargada del transporte de la electricidad, a las múltiples operadoras privadas que se ocupan de la generación y distribución de la energía. Pero el ingente volumen de datos no esclarece de momento la causa del apagón y se ha pedido más información. Si bien las empresas colaboran por el momento, en el Gobierno también empiezan a percibir que tratan de desviar el foco de unas a otras. No en vano hay millones de euros en juego en función de las responsabilidades que se puedan dirimir.",2025-05-02T06:00:00,La Vanguardia,https://www.lavanguardia.com/politica/20250502/10638309/gobierno-asume-tardara-senalar-responsables-apagon.html
487843,"Redeia se hunde un 4% en Bolsa tras ganar un 4,2% más hasta marzo, con resaca del apagón","Redeia caía más de un 4% en Bolsa en el arranque de la sesión bursátil de este viernes, después de que la...",2025-05-02T07:36:56,Europa Press,https://www.europapress.es/economia/bolsa-00348/noticia-redeia-hunde-bolsa-ganar-42-mas-marzo-resaca-apagon-20250502093656.html
388905,Portugal investiga la muerte de una mujer de 77 años como posible primera víctima del apagón en el país,El ventilador al que la fallecida estaba conectada las 24 horas dejó de funcionar por falta de energía.,2025-05-02T12:47:16,20minutos,https://www.20minutos.es/internacional/portugal-investiga-muerte-posible-primera-victima-apagon-pais-5705945/
551398,Hasta 400 personas se reúnen para ver amanecer con cascos luminosos en la Barceloneta,"No sabes si decir buenas noches o buenos días. Aún no ha amanecido, no son ni las 6. Por la calle solo hay gente con legañas y andares a lo ‘walking dead’. Hasta que llegas a la Barceloneta. A las 6.20 se va formando una multitud sonriente delante del mar aún en penumbra. 40 personas, 60, 80. Un tipo va repartiendo cascos luminosos a pie de arena. Suena una kora de fondo, ese arpa-laúd africano. Solo falta una radio a pilas para completar el ambiente de apagón apocalíptico. Extiendes el pareo y sonríes a tu vecina de arena con cara de interrogante. Ella te devuelve la sonrisa con cara de “ya verás, ya”. Te ajustas los cascos luminosos, la kora ahora te toca al oído, cierras los ojos. Una voz te invita a respirar.",2025-05-02T12:49:43,El Periódico,https://www.elperiodico.com/es/que-hacer/planes/20250502/amanecer-cascos-barceloneta-barcelona-respiracion-breathwork-show-up-116963422
606743,"Ayuso aprovecha el Dos de Mayo para cargar contra Sánchez por el ""bochornoso"" apagón","La presidenta de la Comunidad de Madrid, Isabel Díaz Ayuso, ha aprovechado este viernes el acto principal de la festividad del Dos de Mayo para cargar contra el Gobierno por el ""bochornoso"" apagón que dejó España ""a oscuras"" cuatro días antes.",2025-05-02T13:33:29,Huffington Post,https://www.huffingtonpost.es/politica/ayuso-aprovecha-dos-mayo-cargar-gobierno-bochornoso-apagon.html
222295,"Ayuso usa el 2 de mayo para atacar a Sánchez por el apagón: ""No podemos acostumbrarnos al desastre""","Un trueno estruendoso ha acompañado a la presidenta de la Comunidad de Madrid, Isabel Díaz Ayuso, y al alcalde de la capital, José Luis Martínez-Almeida, en su paseíllo desde la calle de Correos ha...",2025-05-02T13:51:47,Público,https://www.publico.es/politica/partidos/ayuso-usa-2-mayo-atacar-sanchez-apagon-podemos-acostumbrarnos-desastre.html
